country_code,year,political_stability,gdp_per_capita
CUB,2018,0.5676311,8911.46205998726
CUB,2019,0.6592457,9232.26115935183
CUB,2020,0.6687382,9605.27914559614
CUB,2021,0.4994388,
CUB,2022,0.4974928,
CUW,2015,,19361.8129630226
CUW,2016,,18944.0962772875
CUW,2017,,18938.2440965187
CUW,2018,,19119.1244887029
CUW,2019,,19220.6865793075
CUW,2020,,16299.8134349902
CUW,2021,,17795.5826616182
CUW,2022,,20057.1404747175
CYM,2015,1.2746191,76379.2098777987
CYM,2016,0.9743726,77802.2535658023
CYM,2017,0.974877,80053.9442657031
CYM,2018,0.978425,83865.5540393356
CYM,2019,1.275357,88254.2902486867
CYM,2020,1.2749256,82338.7977439023
CYM,2021,1.4633939,86449.6749037302
CYM,2022,1.4663069,93030.7051447803
CYP,2015,0.6831374,23088.44140625
CYP,2016,0.7672285,24280.056640625
CYP,2017,0.6738103,26247.44921875
CYP,2018,0.6561041,29120.375
CYP,2019,0.7399069,29227.173828125
CYP,2020,0.4538116,28130.341796875
CYP,2021,0.4791734,32937.83984375
CYP,2022,0.3811357,33231.04296875
CZE,2015,1.100576,17931.5987670768
CZE,2016,1.0617374,18753.9686718096
CZE,2017,1.0199948,20913.197632212
CZE,2018,1.0436452,23705.9329811299
CZE,2019,1.0363667,24062.7190013343
CZE,2020,0.9082209,23472.8915454417
CZE,2021,0.9968819,27696.4619527544
CZE,2022,0.9957469,28282.2236715857
DEU,2015,0.8311441,41929.7549110722
DEU,2016,0.7945337,42948.9381932694
DEU,2017,0.7022243,45553.9341495339
DEU,2018,0.8239013,48916.1686612154
DEU,2019,0.7271723,47656.199739747
DEU,2020,0.6840532,47394.8734504469
DEU,2021,0.6603045,52349.2459994422
DEU,2022,0.5284799,50506.5179638543
DJI,2015,-0.493180099999999,2376.12554719873
DJI,2016,-0.7074408,2510.4300076241
DJI,2017,-0.7552217,2618.95521147369
DJI,2018,-0.296717499999999,2718.08338799203
DJI,2019,-0.3842768,2837.16902340932
DJI,2020,-0.4591955,2844.88810647853
DJI,2021,-0.5273642,3025.91126413549
DJI,2022,-0.4774121,3133.25779772463
DMA,2015,1.1120789,8282.59874702141
DMA,2016,0.9362782,8802.56172041363
DMA,2017,1.1093885,8224.64896571414
DMA,2018,1.112031,9215.3085405645
DMA,2019,0.9867091,9491.14995962374
DMA,2020,1.2385037,7827.74842680426
DMA,2021,1.2367945,8376.40414141113
DMA,2022,1.2397365,9323.66089490562
DNK,2015,1.0198991,53094.0133607574
DNK,2016,0.9320841,54500.9260410217
DNK,2017,0.9149035,57521.5514992225
DNK,2018,1.0018359,61324.7665045565
DNK,2019,0.8984987,59404.2663247723
DNK,2020,0.8682976,60985.4885601514
